doc_id_1,doc_id_2,model,trial,winner_doc_id
Census Bureau,Census Bureau1,o4-mini-2025-04-16,1,Census Bureau
Census Bureau,Census Bureau1,o4-mini-2025-04-16,2,Census Bureau
Census Bureau,Census Bureau1,o4-mini-2025-04-16,3,Census Bureau1
Census Bureau,Census Bureau1,o4-mini-2025-04-16,4,Census Bureau1
Census Bureau,Census Bureau1,o4-mini-2025-04-16,5,Census Bureau
Census Bureau,Census Bureau1,gemini-2.5-flash-preview-05-20,1,Census Bureau1
Census Bureau,Census Bureau1,gemini-2.5-flash-preview-05-20,2,Census Bureau1
Census Bureau,Census Bureau1,gemini-2.5-flash-preview-05-20,3,Census Bureau1
Census Bureau,Census Bureau1,gemini-2.5-flash-preview-05-20,4,Census Bureau
Census Bureau,Census Bureau1,gemini-2.5-flash-preview-05-20,5,Census Bureau1
Census Bureau,Census Bureau2,o4-mini-2025-04-16,1,Census Bureau2
Census Bureau,Census Bureau2,o4-mini-2025-04-16,2,Census Bureau2
Census Bureau,Census Bureau2,o4-mini-2025-04-16,3,Census Bureau
Census Bureau,Census Bureau2,o4-mini-2025-04-16,4,Census Bureau
Census Bureau,Census Bureau2,o4-mini-2025-04-16,5,Census Bureau
Census Bureau,Census Bureau2,gemini-2.5-flash-preview-05-20,1,Census Bureau
Census Bureau,Census Bureau2,gemini-2.5-flash-preview-05-20,2,Census Bureau
Census Bureau,Census Bureau2,gemini-2.5-flash-preview-05-20,3,Census Bureau2
Census Bureau,Census Bureau2,gemini-2.5-flash-preview-05-20,4,Census Bureau2
Census Bureau,Census Bureau2,gemini-2.5-flash-preview-05-20,5,Census Bureau2
Census Bureau1,Census Bureau2,o4-mini-2025-04-16,1,Census Bureau2
Census Bureau1,Census Bureau2,o4-mini-2025-04-16,2,Census Bureau1
Census Bureau1,Census Bureau2,o4-mini-2025-04-16,3,Census Bureau2
Census Bureau1,Census Bureau2,o4-mini-2025-04-16,4,Census Bureau2
Census Bureau1,Census Bureau2,o4-mini-2025-04-16,5,Census Bureau1
Census Bureau1,Census Bureau2,gemini-2.5-flash-preview-05-20,1,Census Bureau2
Census Bureau1,Census Bureau2,gemini-2.5-flash-preview-05-20,2,Census Bureau2
Census Bureau1,Census Bureau2,gemini-2.5-flash-preview-05-20,3,Census Bureau2
Census Bureau1,Census Bureau2,gemini-2.5-flash-preview-05-20,4,Census Bureau2
Census Bureau1,Census Bureau2,gemini-2.5-flash-preview-05-20,5,Census Bureau2
