doc_id,model,criterion,score_trial_1,score_trial_2,score_trial_3,score_trial_4,score_trial_5,mean_score,std_dev_score,has_outlier,overall_average_score
Census Bureau,gemini-2.5-flash-preview-05-20,Citation Format Consistency,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Citation Format Consistency,3.0,3.0,3.0,2.0,4.0,3.0,0.7071067811865476,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Completeness / Coverage,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Completeness / Coverage,5.0,5.0,4.0,5.0,5.0,4.8,0.44721359549995804,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Factual Accuracy,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Factual Accuracy,5.0,4.0,2.0,4.0,4.0,3.8,1.0954451150103321,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Hierarchy & Heading Consistency,2.0,2.0,2.0,2.0,2.0,2.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Hierarchy & Heading Consistency,4.0,3.0,3.0,2.0,3.0,3.0,0.7071067811865476,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Logical Organization,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Logical Organization,5.0,4.0,4.0,3.0,4.0,4.0,0.7071067811865475,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Redundancy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Redundancy,3.0,3.0,3.0,2.0,3.0,2.8,0.4472135954999579,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Section Balance,2.0,2.0,2.0,2.0,2.0,2.0,0.0,False,2.9555555555555557
Census Bureau,o4-mini-2025-04-16,Section Balance,4.0,3.0,3.0,2.0,4.0,3.2,0.8366600265340756,False,2.9555555555555557
Census Bureau,gemini-2.5-flash-preview-05-20,Sentence Clarity,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,2.9555555555555557
